creditSpendtoLimitRatio,averageMonthlySpending,numTnxMonthlyAverage,numAccounts,incomeToSavingsRanking
0.0,0.0,0.0,0,2
-0.0465330303030303,-114.89083333333332,4.333333333333333,3,3
0.0316691666666666,0.0,0.0,2,1
0.2,-40.32749999999999,7.75,3,1
0.1735634328358209,-494.0627272727273,9.0,3,1
0.0,0.0,0.0,0,2
-0.0869181818181818,-231.61454545454544,9.0,3,2
-0.0242861111111111,-212.28666666666663,8.25,3,2
0.0,0.0,0.0,1,2
0.0438023333333333,-12.139090909090909,9.0,3,4
-0.0132909090909091,-4.143333333333335,7.583333333333333,2,2
0.0,0.0,0.0,1,2
0.0,0.0,0.0,0,2
0.0,-215.81916666666663,8.25,1,2
0.0,0.0,0.0,0,2
0.0,0.0,0.0,0,2
0.0,-81.04916666666666,5.25,2,1
0.0,51.298181818181824,9.0,2,2
-0.0427608333333333,-20.43636363636364,9.0,3,3
-0.0197388429752066,-205.21666666666667,11.0,3,4
-0.0898401709401709,-147.76583333333332,8.25,3,1
0.0,0.0,0.0,0,2
0.0,0.0,0.0,0,2
-0.0692683333333333,-257.92400000000004,9.9,3,3
0.0,-214.33916666666664,8.25,1,2
0.0136690909090909,0.0,0.0,2,3
-0.0806625,-8.82909090909092,9.0,2,2
-0.06293,-10.421000000000015,9.9,2,2
0.0,0.0,0.0,1,0
0.0829568181818181,0.0,0.0,1,2
-0.0879219696969697,-326.055,9.9,2,2
-0.0336246411483253,0.0,0.0,1,2
-0.1111111111111111,-65.41916666666667,8.25,2,2
0.0042035353535353,2.2609090909090828,8.545454545454545,2,2
0.0,-591.9177777777777,11.0,2,1
0.0024354166666666,-2.2411111111111097,11.0,3,4
0.0,0.0,0.0,1,2
-0.0127363636363636,-16.163333333333323,8.25,3,3
0.0470683333333333,-131.50666666666666,3.75,3,4
-0.0576689393939394,-16.428999999999995,9.9,2,2
0.0312597222222222,-214.36166666666668,8.25,3,4
-0.0157194871794871,-433.5416666666667,8.25,2,2
0.0,-5.874166666666672,8.25,2,1
-0.060715,-358.19,8.25,2,2
0.0471139999999999,-215.26454545454544,9.0,2,2
-0.0725941666666666,-211.01454545454544,9.0,2,2
0.0264560196560196,-13.886666666666676,11.0,2,2
-0.0556008333333333,-0.4558333333333308,8.25,3,4
-0.0535024999999999,0.0,0.0,1,2
0.079732266325224,-70.95666666666669,8.25,2,2
0.0,0.0,0.0,1,2
0.0,0.0,0.0,1,2
0.0,0.0,0.0,0,2
-0.0039690909090909,8.000000000000005,8.25,3,3
-0.0446135135135135,46.82999999999996,20.0,2,2
0.0071541666666666,-273.735,8.25,2,2
0.0,0.0,0.0,0,2
0.0542572222222222,-13.410833333333336,8.25,3,1
0.0,-535.3291666666667,8.25,1,2
0.0043066666666666,0.0,0.0,1,2
0.0013155555555555,-17.8988888888889,11.0,2,2
0.0,0.0,0.0,0,2
-0.0495566666666666,3.864166666666673,8.25,3,3
-0.0196980555555555,-158.76833333333337,8.25,3,0
0.0,-58.03333333333328,8.25,1,2
-0.035914935064935,0.0,0.0,1,2
-0.0281666666666666,-456.8341666666667,8.25,3,0
0.0,0.0,0.0,1,1
0.0,0.0,0.0,1,2
0.0566918181818181,34.515,8.25,3,3
-0.0075886111111111,-212.34666666666664,8.25,2,2
0.0,0.0,0.0,0,2
-0.0063774999999999,-29.675555555555555,11.0,2,2
0.0,-105.478,8.2,2,3
0.081850909090909,0.0,0.0,2,0
-0.0438154545454545,4.974545454545463,9.0,3,4
-0.021055,-20.68916666666667,7.0,3,1
0.0715663636363636,-49.67666666666667,5.416666666666667,3,1
0.0,0.0,0.0,1,2
0.0595297222222222,-155.0890909090909,9.0,3,1
0.1209823170731707,-55.48799999999997,9.9,3,1
0.1335115789473684,-169.92749999999998,8.25,3,1
-0.0135143518518518,5.920000000000012,9.0,2,2
0.0,0.0,0.0,1,2
0.0014031168831168,-160.04166666666666,8.25,2,2
0.0897942424242424,0.0,0.0,2,1
-0.0995379999999999,-8.838333333333344,8.25,3,3
0.0,-443.4881818181819,9.0,1,2
-0.0273241071428571,0.0,0.0,1,2
0.0145314189189189,169.3244444444445,11.0,3,3
0.0,-1.2840000000000031,9.9,1,2
0.0,0.0,0.0,1,2
0.0,0.0,0.0,0,2
0.0,-24.216363636363635,9.0,1,2
0.0175393333333333,-32.69699999999998,9.9,2,2
-0.0373208333333333,0.0,0.0,2,0
-0.0229363636363636,-3.8436363636363664,9.0,3,2
0.0421575757575758,-16.987999999999996,9.9,2,2
-0.0890563636363636,-59.4922222222222,11.0,2,2
0.0666732758620689,58.98363636363638,9.0,2,2
-0.0415678571428571,0.0,0.0,2,0
0.0,0.0,0.0,1,0
0.0,0.0,0.0,0,2
-0.090735625,-265.04,8.25,2,2
0.0075825,-12.401818181818191,9.0,3,4
0.0644420977011494,-265.8954545454545,9.0,3,0
0.0706275862068965,-252.15750000000003,2.1666666666666665,3,0
-0.0629181818181818,0.0,0.0,1,2
0.0692049999999999,-926.2591666666668,8.25,3,3
0.0681118181818181,-24.0425,8.25,2,2
0.0,-185.3109090909091,9.0,1,2
-0.0566436363636363,87.84272727272729,9.0,3,3
0.0,0.0,0.0,0,2
-0.0615064171122994,5.548333333333336,8.25,3,4
-0.025743,28.64166666666667,8.25,2,2
0.0,-9.986363636363636,9.0,1,2
0.0,-664.8554545454546,9.0,2,4
-0.0076342857142857,-0.75,1.0,3,4
-0.106692328042328,-83.08,8.25,3,1
0.1707492424242424,-260.51454545454544,4.818181818181818,3,0
-0.015368851132686,-317.22,8.25,3,3
0.0,0.0,0.0,1,4
0.1069225694444444,0.0,0.0,2,0
-0.0185907608695652,-121.44083333333336,8.25,2,2
0.0,0.0,0.0,0,2
0.2,-138.9825,3.4166666666666665,3,4
0.0552477777777777,-202.10166666666663,4.583333333333333,3,4
-0.0745966666666666,-206.9275,8.25,2,2
-0.0132361111111111,-215.38833333333332,8.25,3,4
-0.0166516666666666,-199.9327272727273,9.0,3,2
-0.0563642857142857,-0.1322222222222212,11.0,3,3
-0.1110788888888889,0.0,0.0,1,2
-0.0069616666666666,-149.58833333333334,8.25,3,4
0.0,-26.84555555555557,11.0,1,2
-0.1111111111111111,-28.18416666666667,8.25,3,4
-0.0069058333333333,69.26416666666667,8.25,3,0
0.0344215034965035,-317.63750000000005,8.25,3,4
0.1263842857142857,-139.47333333333333,8.25,2,2
0.0,0.0,0.0,1,2
0.0,97.99833333333332,3.0,2,1
0.0,94.72909090909094,9.0,2,4
-0.0202535087719298,0.0,0.0,2,0
-0.0397591666666666,-221.65666666666667,8.25,3,3
0.0113430303030303,11.68,9.9,3,3
0.0385666666666666,-262.83416666666665,8.25,2,2
0.0,0.0,0.0,1,2
-0.0290958333333333,-1.207272727272735,9.0,3,4
0.01032,-21.382222222222225,6.111111111111111,3,0
-0.0469440191387559,0.0,0.0,2,1
-0.0290628787878787,0.0,0.0,1,2
